,ISBN,條碼號
1158,9574924955,1
1159,9574924998,1
1160,9574925188,1
1161,957492548X,1
1162,9574925609,1
1163,9574925692,1
1164,9574925706,1
1165,9574925714,1
1166,9574925722,1
1167,9574926710,1
1168,9574926818,2
1169,9574927113,1
1170,957492744X,1
1171,9574928179,2
1172,9574929086,1
1173,9574929965,1
1174,9575004795,2
1175,957500549X,1
1176,9575010310,1
1177,9575010329,1
1178,9575010337,7
1179,9575010434,8
1180,9575010442,8
1181,9575100778,1
1182,9575140125,93
1183,9575140214,1
1184,9575140222,1
1185,9575140230,1
1186,9575140311,1
1187,9575140354,1
1188,9575140427,2
1189,9575140435,2
1190,9575140443,1
1191,9575140451,2
1192,957514046X,2
1193,9575140478,1
1194,9575143590,1
1195,9575143604,1
1196,9575143612,1
1197,9575143620,1
1198,9575143663,1
1199,9575143736,1
1200,9575143744,1
1201,9575143752,1
1202,9575143779,1
1203,9575143833,1
1204,9575143841,1
1205,9575143868,1
1206,9575143914,2
1207,9575143930,1
1208,9575143965,1
1209,9575143981,1
1210,9575144023,1
1211,957514404X,1
1212,9575144066,1
1213,9575144082,1
1214,9575144090,1
1215,9575144104,1
1216,9575144112,1
1217,9575144163,1
1218,9575144201,1
1219,9575144228,1
1220,9575144244,1
1221,9575144325,1
1222,9575144414,1
1223,9575144473,1
1224,9575144481,1
1225,957514449X,1
1226,9575144503,1
1227,9575144511,1
1228,957514452X,1
1229,9575144538,1
1230,9575144546,1
1231,9575144554,1
1232,9575144562,1
1233,9575144570,1
1234,9575144589,1
1235,9575144597,1
1236,9575144600,1
1237,9575144619,1
1238,9575144627,1
1239,9575144635,1
1240,9575144643,1
1241,9575144651,1
1242,957514466X,1
1243,9575144678,1
1244,9575144686,1
1245,9575144694,1
1246,9575144708,1
1247,9575144716,1
1248,9575144724,1
1249,9575144732,1
1250,9575144740,1
1251,9575144759,1
1252,9575144767,1
1253,9575144775,1
1254,9575144783,1
1255,9575144791,1
1256,9575144805,1
1257,9575144813,1
1258,957514483X,1
1259,9575144848,1
1260,9575144856,1
1261,9575144864,1
1262,9575144872,1
1263,9575144880,1
1264,9575144899,1
1265,9575144902,1
1266,9575144910,1
1267,9575144929,1
1268,9575144937,1
1269,9575144945,1
1270,9575144953,1
1271,9575144961,1
1272,957514497X,1
1273,9575144988,1
1274,9575144996,1
1275,9575145003,1
1276,9575145011,1
1277,957514502X,1
